scorer,DLC_resnet50_swallowing-trackingSep8shuffle1_1030000,DLC_resnet50_swallowing-trackingSep8shuffle1_1030000,DLC_resnet50_swallowing-trackingSep8shuffle1_1030000,DLC_resnet50_swallowing-trackingSep8shuffle1_1030000,DLC_resnet50_swallowing-trackingSep8shuffle1_1030000,DLC_resnet50_swallowing-trackingSep8shuffle1_1030000
bodyparts,complex,complex,complex,lowerJaw,lowerJaw,lowerJaw
coords,x,y,likelihood,x,y,likelihood
226,114.68673706054688,259.6412048339844,1.0,233.62159729003906,202.49929809570312,1.0
227,112.46663665771484,256.7982177734375,1.0,235.2510528564453,204.04287719726562,1.0
228,109.70406341552734,255.03927612304688,1.0,235.61866760253906,210.8627166748047,1.0
229,108.13172149658203,255.52528381347656,1.0,237.09890747070312,216.04075622558594,1.0
230,106.30152130126953,257.10162353515625,1.0,234.03628540039062,221.4265899658203,1.0
231,103.21060180664062,260.11993408203125,1.0,230.8933868408203,229.19528198242188,1.0
232,99.96492004394531,261.6800231933594,1.0,225.6519317626953,236.14300537109375,1.0
233,99.29182434082031,261.59466552734375,1.0,223.49627685546875,239.9246063232422,1.0
234,99.17582702636719,260.87945556640625,1.0,222.71975708007812,243.0205078125,1.0
235,100.91974639892578,259.5194091796875,1.0,224.98780822753906,242.6783447265625,1.0
236,102.01004028320312,257.72076416015625,1.0,226.5166015625,240.83612060546875,1.0
237,103.67623138427734,256.2940979003906,1.0,226.6018524169922,237.36448669433594,1.0
238,103.97911834716797,257.466552734375,1.0,226.86520385742188,235.16653442382812,1.0
239,103.540771484375,261.85406494140625,1.0,228.92691040039062,233.37338256835938,1.0
240,105.04631042480469,266.0987548828125,1.0,231.347412109375,232.08499145507812,1.0
241,107.0860824584961,269.68206787109375,1.0,233.34829711914062,229.51351928710938,1.0
242,109.10916900634766,272.1401672363281,1.0,232.76902770996094,224.76400756835938,1.0
243,111.78559875488281,271.4114074707031,1.0,232.58438110351562,214.91342163085938,1.0
244,115.75221252441406,265.28350830078125,1.0,234.86012268066406,205.12257385253906,1.0
