scorer,DLC_resnet50_side-tongue-trackingJul31shuffle1_1030000,DLC_resnet50_side-tongue-trackingJul31shuffle1_1030000,DLC_resnet50_side-tongue-trackingJul31shuffle1_1030000,DLC_resnet50_side-tongue-trackingJul31shuffle1_1030000,DLC_resnet50_side-tongue-trackingJul31shuffle1_1030000,DLC_resnet50_side-tongue-trackingJul31shuffle1_1030000
bodyparts,Spout,Spout,Spout,TongueTip,TongueTip,TongueTip
coords,x,y,likelihood,x,y,likelihood
34,436.4958190917969,99.68344116210938,1.0,409.7726745605469,134.03746032714844,0.9999998807907104
35,435.2734069824219,99.28363037109375,1.0,387.0786437988281,138.11688232421875,0.9996792078018188
36,434.97357177734375,98.82807922363281,1.0,108.38348388671875,283.9212341308594,0.6496623158454895
37,434.7872619628906,98.9860610961914,1.0,228.21311950683594,260.1665954589844,0.8593337535858154
38,434.86163330078125,99.18807983398438,1.0,237.200439453125,256.45062255859375,0.10063400864601135
39,434.88018798828125,99.14742279052734,1.0,242.13893127441406,251.03033447265625,0.8352915048599243
40,435.083740234375,99.05032348632812,1.0,247.39959716796875,245.0769500732422,0.9586174488067627
41,435.3027038574219,99.13134765625,1.0,251.4080047607422,238.27809143066406,0.9991636276245117
42,435.2442626953125,99.24586486816406,1.0,124.40196990966797,269.76361083984375,0.999825119972229
43,435.266357421875,99.31563568115234,1.0,124.13224792480469,265.0234680175781,0.999967098236084
44,435.28424072265625,99.47781372070312,1.0,123.43952941894531,261.2602844238281,0.9999951124191284
45,434.8808288574219,99.64075469970703,1.0,121.5641860961914,258.3932800292969,0.9997893571853638
46,434.6080322265625,99.60574340820312,1.0,254.01890563964844,219.33372497558594,0.9994838237762451
47,434.9117126464844,99.89582824707031,1.0,253.02517700195312,221.88726806640625,0.9994908571243286
48,435.5426025390625,99.1209716796875,1.0,252.53726196289062,223.14572143554688,0.9932619333267212
49,435.1318054199219,99.17723083496094,1.0,115.80719757080078,261.60595703125,0.9994678497314453
50,435.2452392578125,99.29341125488281,1.0,114.42899322509766,263.0581359863281,0.998037576675415
51,435.2652893066406,99.15105438232422,1.0,252.69020080566406,229.05580139160156,0.9905209541320801
52,434.9073791503906,99.4154281616211,1.0,248.1184844970703,233.7117156982422,0.9985570907592773
