scorer,DLC_resnet50_bottom-tongue-trackingAug2shuffle1_1030000,DLC_resnet50_bottom-tongue-trackingAug2shuffle1_1030000,DLC_resnet50_bottom-tongue-trackingAug2shuffle1_1030000,DLC_resnet50_bottom-tongue-trackingAug2shuffle1_1030000,DLC_resnet50_bottom-tongue-trackingAug2shuffle1_1030000,DLC_resnet50_bottom-tongue-trackingAug2shuffle1_1030000
bodyparts,Sprout,Sprout,Sprout,TongueTip,TongueTip,TongueTip
coords,x,y,likelihood,x,y,likelihood
80,345.2009582519531,122.75139617919922,1.0,351.94879150390625,129.03079223632812,7.867813110351562e-06
81,345.3334045410156,122.78326416015625,1.0,352.07061767578125,129.135498046875,7.361173629760742e-06
82,345.4691467285156,122.74101257324219,1.0,352.0107116699219,129.09434509277344,7.539987564086914e-06
83,345.4205627441406,122.5743179321289,1.0,351.9793701171875,128.96865844726562,7.033348083496094e-06
84,345.39373779296875,122.74407958984375,1.0,351.9501647949219,129.06736755371094,6.586313247680664e-06
85,345.4239196777344,122.67330169677734,1.0,356.64703369140625,133.20883178710938,8.463859558105469e-06
86,345.4914245605469,122.623779296875,1.0,356.71746826171875,133.04266357421875,7.212162017822266e-06
87,345.46990966796875,122.5572738647461,1.0,352.22540283203125,128.91612243652344,5.543231964111328e-06
88,345.4862060546875,122.5899429321289,1.0,352.1570129394531,128.93792724609375,6.0498714447021484e-06
89,345.5400085449219,122.65582275390625,1.0,357.0452575683594,133.2665252685547,4.976987838745117e-06
90,345.49603271484375,122.50314331054688,1.0,357.248291015625,133.12777709960938,7.063150405883789e-06
91,345.5211181640625,122.43650817871094,1.0,357.5354919433594,132.97308349609375,1.3619661331176758e-05
92,345.44891357421875,122.410400390625,1.0,357.2901916503906,132.90118408203125,1.3887882232666016e-05
93,345.556396484375,122.39242553710938,1.0,363.37554931640625,133.25804138183594,4.1991472244262695e-05
94,345.5001525878906,122.38436889648438,1.0,357.64239501953125,132.82452392578125,1.8924474716186523e-05
95,345.5395812988281,122.3652114868164,1.0,357.62579345703125,132.79873657226562,1.5854835510253906e-05
96,345.4539794921875,122.34176635742188,1.0,357.4703674316406,132.72496032714844,1.1444091796875e-05
